study_factor,dv_name,coef_name,version,est,se,li,ui
Hopkins and Mummolo (2017),Support for Crime Spending,Crime Argument,TESS/GfK,0.08611543304754067,0.052441413080463704,-0.016669736590168183,0.18890060268524952
Hopkins and Mummolo (2017),Support for Crime Spending,Crime Argument,Mechanical Turk,-0.011912754896372934,0.05235978973884255,-0.11453794278450434,0.09071243299175848
Hopkins and Mummolo (2017),Support for Crime Spending,Crime Argument,Original,0.0604549514145175,0.05168012687656482,-0.04083809726354955,0.16174800009258455
Hopkins and Mummolo (2017),Support for Health Care Spending,Health Care Argument,TESS/GfK,-0.0252223794108563,0.04925247956463303,-0.12175723935753703,0.07131248053582444
Hopkins and Mummolo (2017),Support for Health Care Spending,Health Care Argument,Mechanical Turk,-0.04645338954570366,0.04368661567091915,-0.1320791562607052,0.039172377169297876
Hopkins and Mummolo (2017),Support for Health Care Spending,Health Care Argument,Original,-0.025547217762714628,0.046672019808176896,-0.11702437658674134,0.06592994106131209
Hopkins and Mummolo (2017),Support for Stimulus Spending,Stimulus Argument,TESS/GfK,-0.23461746513527748,0.040652438054475354,-0.3142962437220492,-0.1549386865485058
Hopkins and Mummolo (2017),Support for Stimulus Spending,Stimulus Argument,Mechanical Turk,-0.21410538881462784,0.03805529024078063,-0.28869375768655786,-0.13951701994269783
Hopkins and Mummolo (2017),Support for Stimulus Spending,Stimulus Argument,Original,-0.1638052769956058,0.044869099355760556,-0.2517487117328965,-0.0758618422583151
Hopkins and Mummolo (2017),Support for Terrorism Spending,Terrorism Argument,TESS/GfK,0.1830518450413685,0.05525868591918277,0.07474482063977028,0.29135886944296674
Hopkins and Mummolo (2017),Support for Terrorism Spending,Terrorism Argument,Mechanical Turk,0.10687906596078384,0.05299607446793592,0.0030067600036294273,0.21075137191793825
Hopkins and Mummolo (2017),Support for Terrorism Spending,Terrorism Argument,Original,0.24948792152007301,0.052596032339128095,0.14639969813538195,0.3525761449047641
